Timestamp,What is your age?,Occupitation,P1.Q1,P1.Q2,P1.Q3,P1.Q4,P1.Q5,P1.Q6,P2.Q1,P2.Q2,P2.Q3,P2.Q4,P2.Q5,P2.Q6,P2.Q7,P2.Q8,P2.Q9,P2.Q10,Reasoning
3/6/2026 12:27:37,21,student,"B) A 25% chance to gain $100, and a 75% chance to gain nothing.","B) A 50% chance to gain $400, and a 50% chance to gain nothing.","B) A 90% chance to gain $100, and a 10% chance to gain nothing.","B) A 90% chance to lose $100, and a 10% chance to lose nothing.","B) A 25% chance to lose $100, and a 75% chance to lose nothing.",A) A guaranteed loss of $200.,"B) Hold — 50% chance it rises to $200, 50% chance it falls back to $100.","B) Hold — 50% chance it recovers to $200, 50% chance it falls further to $100.","B) Hold — 80% chance it rises to $200, 20% chance it falls back to $100.","B) Hold — 80% chance it recovers to $200, 20% chance it falls further to $100.","B) Hold — 20% chance it rises to $200, 80% chance it falls back to $100..","B) Hold — 20% chance it recovers to $200, 80% chance it falls further to $100.","B) Hold — 50% chance it rises to $1,000, 50% chance it falls back to $500.","B) Hold — 50% chance it recovers to $1,000, 50% chance it falls further to $500.","B) Hold — 50% chance it rises to $150, 50% chance it falls back to $100.","B) Hold — 50% chance it recovers to $150, 50% chance it falls further to $100.","If the magnitude of the decision was large, I would be more apprehensive to betting (+/-15 feels like it has less weight than +/-200) compared to holding a stock. I also love gambling so LET IT RIDE!"
3/6/2026 12:30:59,21,Student,"B) A 25% chance to gain $100, and a 75% chance to gain nothing.","B) A 50% chance to gain $400, and a 50% chance to gain nothing.","B) A 90% chance to gain $100, and a 10% chance to gain nothing.","B) A 90% chance to lose $100, and a 10% chance to lose nothing.","B) A 25% chance to lose $100, and a 75% chance to lose nothing.","B) A 50% chance to lose $400, and a 50% chance to lose nothing.","B) Hold — 50% chance it rises to $200, 50% chance it falls back to $100.","B) Hold — 50% chance it recovers to $200, 50% chance it falls further to $100.","B) Hold — 80% chance it rises to $200, 20% chance it falls back to $100.","B) Hold — 80% chance it recovers to $200, 20% chance it falls further to $100.","B) Hold — 20% chance it rises to $200, 80% chance it falls back to $100..","B) Hold — 20% chance it recovers to $200, 80% chance it falls further to $100.","B) Hold — 50% chance it rises to $1,000, 50% chance it falls back to $500.","B) Hold — 50% chance it recovers to $1,000, 50% chance it falls further to $500.","B) Hold — 50% chance it rises to $150, 50% chance it falls back to $100.","B) Hold — 50% chance it recovers to $150, 50% chance it falls further to $100.","If there's a chance to either win more or not lose, might as well take it! I don't like the feeling of ""accepting my losses."" Although if we were talking about a lot more money, I'd probably have to lock in my gains and accept losses a little more."
3/6/2026 12:42:20,19,student,A) A guaranteed gain of $25.,A) A guaranteed gain of $200.,A) A guaranteed gain of $85.,"B) A 90% chance to lose $100, and a 10% chance to lose nothing.",A) A guaranteed loss of $25.,A) A guaranteed loss of $200.,"B) Hold — 50% chance it rises to $200, 50% chance it falls back to $100.",A) Sell and accept your $50 loss.,A) Sell and lock in your $80 gain.,A) Sell and accept your $20 loss.,A) Sell and lock in your $20 gain..,A) Sell and accept your $80 loss.,A) Sell and lock in your $250 gain.,A) Sell and accept your $250 loss.,"B) Hold — 50% chance it rises to $150, 50% chance it falls back to $100.","B) Hold — 50% chance it recovers to $150, 50% chance it falls further to $100.",Honestly a lot of it was just gut feeling/what felt right. I would rather accept any form of gain. For losses if there was a chance of losing significantly more that I had already lost then I would rather accept current loss. I’m more afraid of losing than I am excited to gain. 
3/6/2026 12:44:26,21,Student,"B) A 25% chance to gain $100, and a 75% chance to gain nothing.",A) A guaranteed gain of $200.,A) A guaranteed gain of $85.,"B) A 90% chance to lose $100, and a 10% chance to lose nothing.",A) A guaranteed loss of $25.,"B) A 50% chance to lose $400, and a 50% chance to lose nothing.","B) Hold — 50% chance it rises to $200, 50% chance it falls back to $100.","B) Hold — 50% chance it recovers to $200, 50% chance it falls further to $100.","B) Hold — 80% chance it rises to $200, 20% chance it falls back to $100.","B) Hold — 80% chance it recovers to $200, 20% chance it falls further to $100.","B) Hold — 20% chance it rises to $200, 80% chance it falls back to $100..","B) Hold — 20% chance it recovers to $200, 80% chance it falls further to $100.","B) Hold — 50% chance it rises to $1,000, 50% chance it falls back to $500.","B) Hold — 50% chance it recovers to $1,000, 50% chance it falls further to $500.","B) Hold — 50% chance it rises to $150, 50% chance it falls back to $100.","B) Hold — 50% chance it recovers to $150, 50% chance it falls further to $100.",Hold stock money always go up
3/6/2026 12:55:11,20,student,A) A guaranteed gain of $25.,A) A guaranteed gain of $200.,A) A guaranteed gain of $85.,"B) A 90% chance to lose $100, and a 10% chance to lose nothing.",A) A guaranteed loss of $25.,"B) A 50% chance to lose $400, and a 50% chance to lose nothing.","B) Hold — 50% chance it rises to $200, 50% chance it falls back to $100.",A) Sell and accept your $50 loss.,A) Sell and lock in your $80 gain.,A) Sell and accept your $20 loss.,A) Sell and lock in your $20 gain..,A) Sell and accept your $80 loss.,A) Sell and lock in your $250 gain.,A) Sell and accept your $250 loss.,"B) Hold — 50% chance it rises to $150, 50% chance it falls back to $100.","B) Hold — 50% chance it recovers to $150, 50% chance it falls further to $100.","A good portion of my rationale was I already would have lost a lot of my money by that point. I would rather not take risks involving the loss of a lot of money. If I were risking losing only a little bit of money, I would rather lock in the gain of a lot of money gamble the loss of a couple bucks more if it was a negligible amount of money. I also did not want to risk losing a guaruneed large amount of money."
3/6/2026 13:00:12,22,Student ,"B) A 25% chance to gain $100, and a 75% chance to gain nothing.","B) A 50% chance to gain $400, and a 50% chance to gain nothing.","B) A 90% chance to gain $100, and a 10% chance to gain nothing.","B) A 90% chance to lose $100, and a 10% chance to lose nothing.",A) A guaranteed loss of $25.,"B) A 50% chance to lose $400, and a 50% chance to lose nothing.","B) Hold — 50% chance it rises to $200, 50% chance it falls back to $100.","B) Hold — 50% chance it recovers to $200, 50% chance it falls further to $100.","B) Hold — 80% chance it rises to $200, 20% chance it falls back to $100.","B) Hold — 80% chance it recovers to $200, 20% chance it falls further to $100.","B) Hold — 20% chance it rises to $200, 80% chance it falls back to $100..","B) Hold — 20% chance it recovers to $200, 80% chance it falls further to $100.","B) Hold — 50% chance it rises to $1,000, 50% chance it falls back to $500.","B) Hold — 50% chance it recovers to $1,000, 50% chance it falls further to $500.","B) Hold — 50% chance it rises to $150, 50% chance it falls back to $100.","B) Hold — 50% chance it recovers to $150, 50% chance it falls further to $100.","if i put that money in, i already lost it. Have nothing to lose and all to gain"
3/6/2026 13:07:47,62,Insurance Broker,A) A guaranteed gain of $25.,A) A guaranteed gain of $200.,A) A guaranteed gain of $85.,A) A guaranteed loss of $85.,"B) A 25% chance to lose $100, and a 75% chance to lose nothing.",A) A guaranteed loss of $200.,"B) Hold — 50% chance it rises to $200, 50% chance it falls back to $100.","B) Hold — 50% chance it recovers to $200, 50% chance it falls further to $100.","B) Hold — 80% chance it rises to $200, 20% chance it falls back to $100.","B) Hold — 80% chance it recovers to $200, 20% chance it falls further to $100.","B) Hold — 20% chance it rises to $200, 80% chance it falls back to $100..","B) Hold — 20% chance it recovers to $200, 80% chance it falls further to $100.","B) Hold — 50% chance it rises to $1,000, 50% chance it falls back to $500.","B) Hold — 50% chance it recovers to $1,000, 50% chance it falls further to $500.","B) Hold — 50% chance it rises to $150, 50% chance it falls back to $100.","B) Hold — 50% chance it recovers to $150, 50% chance it falls further to $100.","My age, 62 was a factor. I can gamble a little, but need to be aware of my need for money when I retire. With that said, the amounts used in the examples were so low, they are not life altering. You need to adjust the values in the questions to really make me think about my answers "
3/6/2026 13:07:56,20,student ,A) A guaranteed gain of $25.,A) A guaranteed gain of $200.,"B) A 90% chance to gain $100, and a 10% chance to gain nothing.","B) A 90% chance to lose $100, and a 10% chance to lose nothing.","B) A 25% chance to lose $100, and a 75% chance to lose nothing.",A) A guaranteed loss of $200.,"B) Hold — 50% chance it rises to $200, 50% chance it falls back to $100.","B) Hold — 50% chance it recovers to $200, 50% chance it falls further to $100.","B) Hold — 80% chance it rises to $200, 20% chance it falls back to $100.","B) Hold — 80% chance it recovers to $200, 20% chance it falls further to $100.","B) Hold — 20% chance it rises to $200, 80% chance it falls back to $100..","B) Hold — 20% chance it recovers to $200, 80% chance it falls further to $100.",A) Sell and lock in your $250 gain.,"B) Hold — 50% chance it recovers to $1,000, 50% chance it falls further to $500.","B) Hold — 50% chance it rises to $150, 50% chance it falls back to $100.","B) Hold — 50% chance it recovers to $150, 50% chance it falls further to $100.","Hold if the %chance was high enough, or if it was a large amount of money to loose "
3/6/2026 13:23:06,22,Student,A) A guaranteed gain of $25.,A) A guaranteed gain of $200.,"B) A 90% chance to gain $100, and a 10% chance to gain nothing.","B) A 90% chance to lose $100, and a 10% chance to lose nothing.","B) A 25% chance to lose $100, and a 75% chance to lose nothing.",A) A guaranteed loss of $200.,"B) Hold — 50% chance it rises to $200, 50% chance it falls back to $100.","B) Hold — 50% chance it recovers to $200, 50% chance it falls further to $100.","B) Hold — 80% chance it rises to $200, 20% chance it falls back to $100.","B) Hold — 80% chance it recovers to $200, 20% chance it falls further to $100.","B) Hold — 20% chance it rises to $200, 80% chance it falls back to $100..","B) Hold — 20% chance it recovers to $200, 80% chance it falls further to $100.",A) Sell and lock in your $250 gain.,A) Sell and accept your $250 loss.,"B) Hold — 50% chance it rises to $150, 50% chance it falls back to $100.","B) Hold — 50% chance it recovers to $150, 50% chance it falls further to $100.","Generally, if not gained/lost much, will take chance if chance is favorable (more than 50%). Will also take chance if the further loss is insignificant to what’s already lost."
3/6/2026 13:36:31,19,"Student, ArtPower box office representative ",A) A guaranteed gain of $25.,A) A guaranteed gain of $200.,"B) A 90% chance to gain $100, and a 10% chance to gain nothing.","B) A 90% chance to lose $100, and a 10% chance to lose nothing.",A) A guaranteed loss of $25.,"B) A 50% chance to lose $400, and a 50% chance to lose nothing.","B) Hold — 50% chance it rises to $200, 50% chance it falls back to $100.","B) Hold — 50% chance it recovers to $200, 50% chance it falls further to $100.","B) Hold — 80% chance it rises to $200, 20% chance it falls back to $100.","B) Hold — 80% chance it recovers to $200, 20% chance it falls further to $100.",A) Sell and lock in your $20 gain..,A) Sell and accept your $80 loss.,A) Sell and lock in your $250 gain.,A) Sell and accept your $250 loss.,"B) Hold — 50% chance it rises to $150, 50% chance it falls back to $100.","B) Hold — 50% chance it recovers to $150, 50% chance it falls further to $100.","I'm not entirely sure. I tried to rationalize my choices based on how much was being lost and the percentages, but, ultimately, it's a gamble, and I'm aware that by purchasing stocks in the first place I'm accepting a risk."
3/6/2026 13:54:16,22,Student ,A) A guaranteed gain of $25.,A) A guaranteed gain of $200.,"B) A 90% chance to gain $100, and a 10% chance to gain nothing.",A) A guaranteed loss of $85.,"B) A 25% chance to lose $100, and a 75% chance to lose nothing.","B) A 50% chance to lose $400, and a 50% chance to lose nothing.","B) Hold — 50% chance it rises to $200, 50% chance it falls back to $100.","B) Hold — 50% chance it recovers to $200, 50% chance it falls further to $100.","B) Hold — 80% chance it rises to $200, 20% chance it falls back to $100.","B) Hold — 80% chance it recovers to $200, 20% chance it falls further to $100.","B) Hold — 20% chance it rises to $200, 80% chance it falls back to $100..",A) Sell and accept your $80 loss.,A) Sell and lock in your $250 gain.,"B) Hold — 50% chance it recovers to $1,000, 50% chance it falls further to $500.","B) Hold — 50% chance it rises to $150, 50% chance it falls back to $100.","B) Hold — 50% chance it recovers to $150, 50% chance it falls further to $100.",I think that I chose to take an average amount of risk when it came to these prompts. If there was 50% chance or more of recovery then I was willing to take the risk at the chance it fell back to the original price. I felt that ending up at the starting price would still be acceptable in my mind 
3/6/2026 14:06:51,23,Sales ,A) A guaranteed gain of $25.,A) A guaranteed gain of $200.,"B) A 90% chance to gain $100, and a 10% chance to gain nothing.","B) A 90% chance to lose $100, and a 10% chance to lose nothing.","B) A 25% chance to lose $100, and a 75% chance to lose nothing.",A) A guaranteed loss of $200.,"B) Hold — 50% chance it rises to $200, 50% chance it falls back to $100.","B) Hold — 50% chance it recovers to $200, 50% chance it falls further to $100.","B) Hold — 80% chance it rises to $200, 20% chance it falls back to $100.","B) Hold — 80% chance it recovers to $200, 20% chance it falls further to $100.","B) Hold — 20% chance it rises to $200, 80% chance it falls back to $100..",A) Sell and accept your $80 loss.,"B) Hold — 50% chance it rises to $1,000, 50% chance it falls back to $500.","B) Hold — 50% chance it recovers to $1,000, 50% chance it falls further to $500.","B) Hold — 50% chance it rises to $150, 50% chance it falls back to $100.","B) Hold — 50% chance it recovers to $150, 50% chance it falls further to $100.",I don’t like 50/50 odds when it comes to gains or losses. I’d rather go with what is guaranteed. With the stocks questions there was little risk/ loss so it was better to just hold. 
3/6/2026 14:30:51,21,Student,A) A guaranteed gain of $25.,A) A guaranteed gain of $200.,"B) A 90% chance to gain $100, and a 10% chance to gain nothing.","B) A 90% chance to lose $100, and a 10% chance to lose nothing.",A) A guaranteed loss of $25.,"B) A 50% chance to lose $400, and a 50% chance to lose nothing.","B) Hold — 50% chance it rises to $200, 50% chance it falls back to $100.","B) Hold — 50% chance it recovers to $200, 50% chance it falls further to $100.","B) Hold — 80% chance it rises to $200, 20% chance it falls back to $100.","B) Hold — 80% chance it recovers to $200, 20% chance it falls further to $100.",A) Sell and lock in your $20 gain..,"B) Hold — 20% chance it recovers to $200, 80% chance it falls further to $100.","B) Hold — 50% chance it rises to $1,000, 50% chance it falls back to $500.","B) Hold — 50% chance it recovers to $1,000, 50% chance it falls further to $500.","B) Hold — 50% chance it rises to $150, 50% chance it falls back to $100.","B) Hold — 50% chance it recovers to $150, 50% chance it falls further to $100.","Regarding investing, i’m in the for the long term market, not short term gains, for gambling, i try to choose options with the best rational ratio for my financial situation."
3/6/2026 14:43:01,21,Student,"B) A 25% chance to gain $100, and a 75% chance to gain nothing.","B) A 50% chance to gain $400, and a 50% chance to gain nothing.","B) A 90% chance to gain $100, and a 10% chance to gain nothing.","B) A 90% chance to lose $100, and a 10% chance to lose nothing.","B) A 25% chance to lose $100, and a 75% chance to lose nothing.","B) A 50% chance to lose $400, and a 50% chance to lose nothing.","B) Hold — 50% chance it rises to $200, 50% chance it falls back to $100.",A) Sell and accept your $50 loss.,"B) Hold — 80% chance it rises to $200, 20% chance it falls back to $100.","B) Hold — 80% chance it recovers to $200, 20% chance it falls further to $100.","B) Hold — 20% chance it rises to $200, 80% chance it falls back to $100..",A) Sell and accept your $80 loss.,"B) Hold — 50% chance it rises to $1,000, 50% chance it falls back to $500.","B) Hold — 50% chance it recovers to $1,000, 50% chance it falls further to $500.","B) Hold — 50% chance it rises to $150, 50% chance it falls back to $100.","B) Hold — 50% chance it recovers to $150, 50% chance it falls further to $100.",If I’m losing money might as well go out with bang. Anything less than a 50/50 split I won’t take my chances.
3/6/2026 15:04:13,27,Student,"B) A 25% chance to gain $100, and a 75% chance to gain nothing.",A) A guaranteed gain of $200.,"B) A 90% chance to gain $100, and a 10% chance to gain nothing.","B) A 90% chance to lose $100, and a 10% chance to lose nothing.","B) A 25% chance to lose $100, and a 75% chance to lose nothing.","B) A 50% chance to lose $400, and a 50% chance to lose nothing.",A) Sell and lock in your $50 gain.,A) Sell and accept your $50 loss.,"B) Hold — 80% chance it rises to $200, 20% chance it falls back to $100.",A) Sell and accept your $20 loss.,"B) Hold — 20% chance it rises to $200, 80% chance it falls back to $100..",A) Sell and accept your $80 loss.,A) Sell and lock in your $250 gain.,"B) Hold — 50% chance it recovers to $1,000, 50% chance it falls further to $500.","B) Hold — 50% chance it rises to $150, 50% chance it falls back to $100.","B) Hold — 50% chance it recovers to $150, 50% chance it falls further to $100.","Even though I focus on percentage returns first, the actual dollar value still matters. My usual exit point is 20%, but I'll tighten that percentage for larger amounts and loosen it for smaller ones."
3/6/2026 15:28:40,22,Banker,A) A guaranteed gain of $25.,A) A guaranteed gain of $200.,"B) A 90% chance to gain $100, and a 10% chance to gain nothing.","B) A 90% chance to lose $100, and a 10% chance to lose nothing.","B) A 25% chance to lose $100, and a 75% chance to lose nothing.","B) A 50% chance to lose $400, and a 50% chance to lose nothing.",A) Sell and lock in your $50 gain.,"B) Hold — 50% chance it recovers to $200, 50% chance it falls further to $100.","B) Hold — 80% chance it rises to $200, 20% chance it falls back to $100.","B) Hold — 80% chance it recovers to $200, 20% chance it falls further to $100.",A) Sell and lock in your $20 gain..,A) Sell and accept your $80 loss.,"B) Hold — 50% chance it rises to $1,000, 50% chance it falls back to $500.",A) Sell and accept your $250 loss.,"B) Hold — 50% chance it rises to $150, 50% chance it falls back to $100.","B) Hold — 50% chance it recovers to $150, 50% chance it falls further to $100.","The average person tends to be risk adverse when experiencing gains but risk seeking when in a losing position, I am also like the average person, but I’m also aware that I am, which knocks some sense into me sometimes."
3/6/2026 15:40:14,56,Manager ,A) A guaranteed gain of $25.,A) A guaranteed gain of $200.,"B) A 90% chance to gain $100, and a 10% chance to gain nothing.","B) A 90% chance to lose $100, and a 10% chance to lose nothing.",A) A guaranteed loss of $25.,"B) A 50% chance to lose $400, and a 50% chance to lose nothing.","B) Hold — 50% chance it rises to $200, 50% chance it falls back to $100.",A) Sell and accept your $50 loss.,A) Sell and lock in your $80 gain.,"B) Hold — 80% chance it recovers to $200, 20% chance it falls further to $100.","B) Hold — 20% chance it rises to $200, 80% chance it falls back to $100..",A) Sell and accept your $80 loss.,"B) Hold — 50% chance it rises to $1,000, 50% chance it falls back to $500.",A) Sell and accept your $250 loss.,"B) Hold — 50% chance it rises to $150, 50% chance it falls back to $100.","B) Hold — 50% chance it recovers to $150, 50% chance it falls further to $100.",If not a large investment I feel like I can take more chances on a Loss. 
